Testando diferentes valores de r...

--- r = 1 ---
Run 25: SP = 146.9600 | Tempo = 10.00s
Run 26: SP = 147.7700 | Tempo = 10.00s
Run 27: SP = 150.3550 | Tempo = 10.00s
Run 28: SP = 149.9450 | Tempo = 8.24s
Run 29: SP = 143.4050 | Tempo = 9.33s
Run 30: SP = 148.9750 | Tempo = 10.00s
Resumo para r = 10 -> Min: 143.4050 | Média: 149.0637 | Max: 154.4800 | Tempo médio: 9.8963

--- r = 20 ---
Run 1: SP = 144.5800 | Tempo = 10.00s
Run 2: SP = 147.3800 | Tempo = 9.86s
Run 3: SP = 151.3000 | Tempo = 10.00s
Run 4: SP = 148.8150 | Tempo = 10.00s
Run 5: SP = 149.6300 | Tempo = 10.00s
Run 6: SP = 152.1200 | Tempo = 10.00s
Run 7: SP = 151.0450 | Tempo = 10.00s
Run 8: SP = 154.0900 | Tempo = 10.00s
Run 9: SP = 145.7700 | Tempo = 10.00s
Run 10: SP = 147.9450 | Tempo = 10.00s
Run 11: SP = 160.0300 | Tempo = 10.00s
Run 12: SP = 151.1150 | Tempo = 10.00s
Run 13: SP = 150.1400 | Tempo = 10.00s
Run 14: SP = 153.8300 | Tempo = 10.00s
Run 15: SP = 149.6400 | Tempo = 10.00s
Run 16: SP = 145.5050 | Tempo = 10.00s
Run 17: SP = 153.4900 | Tempo = 10.00s
Run 18: SP = 147.6550 | Tempo = 10.00s
Run 19: SP = 149.2000 | Tempo = 10.00s
Run 20: SP = 149.4550 | Tempo = 10.00s
Run 21: SP = 153.7750 | Tempo = 10.00s
Run 22: SP = 148.4950 | Tempo = 9.92s
Run 23: SP = 151.7400 | Tempo = 10.00s
Run 24: SP = 150.3200 | Tempo = 10.00s
Run 25: SP = 151.0450 | Tempo = 10.00s
Run 26: SP = 148.0300 | Tempo = 10.00s
Run 27: SP = 152.4450 | Tempo = 10.00s
Run 28: SP = 148.0350 | Tempo = 10.00s
Run 29: SP = 146.3750 | Tempo = 10.00s
Run 30: SP = 148.2300 | Tempo = 10.00s
Resumo para r = 20 -> Min: 144.5800 | Média: 150.0408 | Max: 160.0300 | Tempo médio: 9.9929

--- r = 50 ---
Run 1: SP = 146.8400 | Tempo = 10.00s
Run 2: SP = 153.1500 | Tempo = 10.00s
Run 3: SP = 153.5950 | Tempo = 10.00s
Run 4: SP = 144.6350 | Tempo = 10.00s
Run 5: SP = 150.0350 | Tempo = 10.00s
Run 6: SP = 149.3200 | Tempo = 10.00s
Run 7: SP = 160.8900 | Tempo = 10.00s
Run 8: SP = 147.4700 | Tempo = 10.00s
Run 9: SP = 147.0100 | Tempo = 10.00s
Run 10: SP = 148.6300 | Tempo = 10.00s
Run 11: SP = 157.4550 | Tempo = 10.00s
Run 12: SP = 159.8700 | Tempo = 10.00s
Run 13: SP = 150.4150 | Tempo = 10.00s
Run 14: SP = 151.6050 | Tempo = 10.00s
Run 15: SP = 152.2100 | Tempo = 10.00s
Run 16: SP = 148.7050 | Tempo = 10.00s
Run 17: SP = 151.2500 | Tempo = 10.00s
Run 18: SP = 154.4950 | Tempo = 10.00s
Run 19: SP = 145.3200 | Tempo = 10.00s
Run 20: SP = 160.3550 | Tempo = 10.00s
Run 21: SP = 152.2850 | Tempo = 10.00s
Run 22: SP = 147.0500 | Tempo = 10.00s
Run 23: SP = 148.3250 | Tempo = 10.00s
Run 24: SP = 152.2450 | Tempo = 10.00s
Run 25: SP = 154.8750 | Tempo = 10.00s
Run 26: SP = 156.4350 | Tempo = 10.00s
Run 27: SP = 152.4050 | Tempo = 10.00s
Run 28: SP = 151.3050 | Tempo = 10.00s
Run 29: SP = 156.7800 | Tempo = 10.00s
Run 30: SP = 152.2750 | Tempo = 10.00s
Resumo para r = 50 -> Min: 144.6350 | Média: 151.9078 | Max: 160.8900 | Tempo médio: 10.0002

========================================== Resultados Finais ===========================================
 r |   Min SP   |   Média SP   |   Max SP   | Tempo Médio (s) | Iterações GRASP | Iterações Local Search
--------------------------------------------------------------------------------------------------------
 1 |   146.7500 |     147.2228 |  149.2300 |          10.00   | 1.00            | 3.17
 2 |   143.0850 |     147.2760 |  156.0750 |           9.25   | 1.00            | 3.37
 3 |   143.0850 |     146.3198 |  152.5150 |           9.69   | 1.00            | 3.23
 5 |   143.2800 |     147.3990 |  152.9900 |           9.77   | 1.00            | 3.20
 7 |   143.3350 |     147.8840 |  154.3100 |           9.84   | 1.00            | 3.17
10 |   143.4050 |     149.0637 |  154.4800 |           9.90   | 1.00            | 3.30
20 |   144.5800 |     150.0408 |  160.0300 |           9.99   | 1.00            | 3.23
50 |   144.6350 |     151.9078 |  160.8900 |          10.00   | 1.00            | 3.37
